1,Group,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Display Date,Title,Detail,URL,Image URL,Image Credit,Type,Color
,2,Events,0103,,,,,,,,,反地球連邦組織「マフティー」軌道上の監視用人工衛星を破壊。,,,,,
,6,Develop,0105,11,,,,,,,,アナハイム・エレクトロニクスが連邦軍の依頼を受け、小型ＭＳの開発に着手,,,,,
,6,Develop,0108,7,,,,,,,,ブッホ・エアロダイナミックス、小型高性能ＭＳ、デッサ・タイプ試作１号機をロールアウト,,,,,
,6,Develop,0109,,,,,,,,,RGM-109ヘビーガン、ロールアウト,,,,,
,6,Develop,0111,9,,,,,,,,サナリィによるＦ９０の１号機がロールアウト、及び各種オプションＡ･Ｄ･Ｓ･Ｍ･Ｈが本体に先行して完成,,,,,
,1,戦争・事変,0120,,,,,,,,,オールズモビル戦役,地球連邦軍とジオン公国の残党組織オールズモビルによる戦争。,,,,
,1,戦争・事変,0123,,,,,,,,,コスモ・バビロニア建国戦争,ロナ家はＭＳ部隊クロスボーン・バンガードによってフロンティアサイドを制圧し、貴族主義を掲げてコスモ・バビロニアの建国を宣言。指揮官の鉄仮面は独断で無差別殺傷兵器バグと巨大兵器ラフレシアを始動させて人類の本格的粛正に乗り出すが、激しい抵抗にあう。,,,,
,1,戦争・事変,0133,,,,,,,,,木星戦役,ベラ・ロナによって宇宙海賊としての活動を再開したクロスボーン・バンガードと、地球連邦に宣戦布告した木星帝国との戦いを描く。,,,,
,2,Events,0140,,,,,,,,,コロニー主義の台頭。自治権の確立運動再燃。各コロニーの経済格差や貿易の不均衡をめぐっての対立表面化,,,,,
,2,Events,0148,,,,,,,,,リガ・ミリティア結成,,,,,
,1,戦争・事変,0149,,,,,,,,,ザンスカール戦争,ベラ・ロナによって宇宙海賊としての活動を再開したクロスボーン・バンガードと、地球連邦に宣戦布告した木星帝国との戦いを描く。,,,,
,,Develop,,5,,,,,,,,連邦軍、RX-77ガンキャノン試作第1号機完成,,,,,
