1254,ランダム番号,年号補助,和暦,人物２,人物３,人物,抽出ワード,歴史カード,Timestamp,項目,メモ,本
,961,1053,,,平等院の阿弥陀如来坐像,,定朝,日本　文化　宗教,,,,
,110,1054,,,SN1054,かに星雲,,科学　宇宙,,,,
,111,1054,,,東西教会の分裂,ギリシャ正教会成立,,キリスト教,,,,
,1851,1055,,,セルジューク・トルコがバクダード入城,,,イスラム,,,,
,112,1059,,,ラテラノ公会議,,ニコラウス2世,キリスト教　宗教,,,,
,1935,1059,,,聖職者の結婚の禁止,,,ヨーロッパ,,,,
,600,1066,,,ヘイスティングスの戦い,,ウィリアム１世　ハロルド王,イギリス,,,,
,669,1066,,,ハレー彗星,,,科学,,,,
,1629,1068,,,後三条天皇即位,藤原北家の祖父を持たない,,日本,,,,
,113,1076,,,カノッサの屈辱,ザーリア朝,ハインリッヒ4世　グレゴリウス7世,ドイツ　キリスト教　宗教,,,,
,1861,1076,,,ムラービト朝のガーナ征服,,,イスラム,,,,
,114,1083,,,後三年の役,,,日本,中学,,,
,852,1086,,,白河上皇の院政,,白河上皇,日本,,,,
,1953,1090,,,大型の天文機械時計塔,宋,,中国,,,,
,115,1093,,,反音作法,最古の五十音図,明覚,日本語　言葉,,,,
,116,1095,,,クレルモンの教会会議,,ウルバヌス2世,ドイツ　キリスト教　宗教　十字軍,,,,
,117,1096,,,第１回十字軍（～1099）,,ウルバヌス2世,キリスト教　宗教　十字軍,,,,
,1631,1096,,,城南宮で鏑流馬,,,日本,,,,
,118,1098,,,シトー会,,ロベルトゥス,キリスト教　ワイン　フランス,,,,
,119,1099,,,十字軍がエルサレム占領,エルサレム王国,,中東　十字軍,,,,
,670,1100,8月,,ウィリアム２世（赤顔王）の死,,,イギリス,,,,
,120,1114,,,シトー会がシャブリの畑を購入,,,キリスト教　ワイン　フランス,,,,
,121,1115,,,金帝国,,,アジア　中国,,,,
,562,1118,,,聖堂騎士団,,,ヨーロッパ　中東　十字軍,,,,
,122,1122,,,ヴォルムス協約,,,キリスト教　宗教,,,,
,123,1136,,,「ブリテン列王伝」,,アーサー王,ケルト,,,,
,1375,1136,,,アバディーン・ハーバー・ボード,最も古い会社,,,,,,
,556,1142,,,クララ・ド・シュヴァリエ,聖ヨハネ騎士団,,ヨーロッパ　キリスト教　十字軍,,,,
,557,1144,12月,,エデッサ陥落,,,ヨーロッパ　キリスト教,,,,
,558,1145,2月,,ローマ法王エウゲニウス３世,,,ヨーロッパ　キリスト教,,,,
,666,1145,,,三国史記,,,朝鮮,,,,
,559,1146,3月,,第2次十字軍へのベルナールの説教,ヴェズレー（ブルゴーニュ）,フランス王ルイ７世,ヨーロッパ　キリスト教　十字軍,,,,
,124,1147,,,第2回十字軍（～1148）,,コンラート3世　ルイ7世　ハインリッヒ獅子王,ヨーロッパ　中東　キリスト教　宗教　十字軍,,,,
,1342,1152,,,イギリスがアキテーヌを領有,百年戦争（1337-）の遠因　ワイン,ヘンリー2世,イギリス　文化,,,,
,601,1154,,,ヘンリー２世即位,,,イギリス,,,,
,125,1156,,,保元の乱,,,日本,中学,,,
,1630,1156,,,保元の乱,,,日本,,,,
,126,1159,,,平治の乱,,,日本,中学,,,
,1543,1167,,,ロンバルディア同盟,,,イタリア,,,,
,887,1168,,,栄西が宋へ,,,日本　文化　宗教,,,,
,565,1170,,,トーマス・ベケットの殉教,,,ヨーロッパ,,,,
,566,1174,,,ヌラディンの死,,,中東　イスラム　十字軍,,,,
,1173,1177,,,鹿ヶ谷の謀議,,平清盛,日本,,,,
,1470,1180,,,南部焼き討ち,興福寺・東大寺,,日本　文化　宗教,,,,
,1612,1180,,,ボルグンド・スターブ教会,ノルウェー,,文化　宗教,,,,
,127,1181,,,SN1181,,,科学　宇宙,,,,
,655,1186,,,大原問答,,法然,日本　宗教　仏教,,,,
,128,1187,10月,,サラディンがエルサレム王国を征服,,,中東　十字軍,,,,
,568,1187,7月,,ハッティンの戦闘,,,中東　十字軍,,,,
,888,1187,～1191,,栄西が再び宋へ,,,日本　文化　宗教,,,,
,564,1190,,,第三次十字軍,,,ヨーロッパ　中東　十字軍,,,,
,638,1191,,,栄西が茶の種を日本へ持って帰る,,,日本　文化　食　宗教,,,,
,129,1192,,,源頼朝が征夷大将軍に,,,日本,中学,,,
,777,1193,,,曾我兄弟の仇討ち,日本三大仇討ち,曽我兄弟,日本,,,,
,844,1195,,,東大寺の大仏再興法要,,源頼朝,日本　文化,,,,
,1550,1196,,,建久七年の政変,,,日本,,,,
,944,1198,以前,,「興禅護国論」,,栄西,日本　宗教,,,,
,1404,1202,,,建仁寺建立,源頼家が寺域を寄進,,日本　文化　宗教,,,,
,843,1203,,,東大寺南大門の金剛力士像,,運慶・快慶,日本　文化,,,,
,1854,1203,,,ヴィクラマシラー寺院が蹂躙される,インド密教最後の聖地,,イスラム,,,,
,130,1206,,,テムジン、チンギス・ハーンに,,,アジア　モンゴル,,,,
,1853,1206,,,インド発のイスラム王朝　奴隷王朝,,,イスラム,,,,
,943,1207,,,建永の法難（承元の法難）,,,日本　宗教,,,,
,1830,1209,,,近代秀歌,,藤原定家,文化　書　日本,,,,
,1129,1211,,,「喫茶養生記」初治本,,栄西,日本　文化　食　宗教,,,,
,131,1214,,,ブーヴィーヌの戦い,カベー朝,フィリップ2世　オットー4世　ジョン王,フランス,,,,
,1311,1214,,,「喫茶養生記（きっさようじょうき）」再治本,,栄西,日本　文化　食　宗教,,,,
,132,1215,,,フリードリヒ2世即位（～1250）,ホーエンシュタウフェン朝,,ドイツ　皇帝,,,,
,676,1215,,,マグナ・カルタ,,ジョン王,イギリス,,,,
,1710,1215,,,ラテラノ公会議,ユダヤ教徒がバッジなど義務,,宗教,,,,
,1936,1215,,,第4回ラテラノ公会議,ユダヤ人排斥を認める,,ヨーロッパ,,,,
,133,1220,,,聖界諸侯との協約,,フリードリヒ2世,ドイツ　キリスト教　宗教,,,,
,853,1221,,,承久の乱,,後鳥羽上皇,日本,,,,
,1450,1222,,,日蓮が生まれる,安房の国,,日本　文化　宗教,,,,
,798,1223,,,運慶没,,,日本　文化,,,,
,891,1223,,,道元が宋へ,,,日本　文化　宗教,,,,
,935,1227,,,道元帰国,,,日本　文化　宗教,,,,
,135,1228,,,第6回十字軍（～1229）,,フリードリヒ2世,ドイツ　皇帝　キリスト教　宗教,,,,
,136,1231,,,諸侯の利益のための協約,,フリードリヒ2世,ドイツ,,,,
,612,1231,,,異端裁判所,,,,,,,
,936,1231,,,道元「弁道話」,,,日本　文化　宗教,,,,
,1544,1231,,,メルフィ憲章,,,イタリア,,,,
,137,1232,,,御成敗式目,,,日本　法律,中学,,,
,1536,1232,,,異端裁判所,,グレゴリウス9世,ヨーロッパ,,,,
,1539,1236,,,第1次ロンバルディア戦役,,フリードリヒ2世,ドイツ　イタリア,,,,
,138,1237,,,モンゴル軍のロシア進入,,,アジア　ロシア,,,,
,1540,1237,,,第2次ロンバルディア戦役,,フリードリヒ2世,ドイル　イタリア,,,,
,1983,1240,～1480,,タタールのくびき,,,ロシア,,,,
,1180,1241,,,ワールシュタットの戦い,ドイツ騎士団,バトゥ,アジア　ヨーロッパ,,,,
,934,1243,,,道元の北越入山,,,日本　文化　宗教,,,,
,1160,1243,,,鎌倉大仏がまず木造で作成される,,,日本　文化　宗教,,,,
,1420,1246,,,永平寺（曹洞宗）,,,日本　文化　宗教,,,,
,139,1250,,,大空位時代始まる（～1273）,,,ドイツ,,,,
,1092,1250,,,ポルトガルがイスラムの支配から脱する,,,ポルトガル,,,,
,1906,1252,,,フィオリーノ金貨,,,ヨーロッパ,,,,
,889,1253,,,建長寺創建,,蘭渓道隆,日本　文化　宗教,,,,
,938,1253,,,道元示寂,54歳,,日本　文化　宗教,,,,
,1448,1257,,,鎌倉に大地震,,,日本,,,,
,1852,1258,,,アッバース朝がモンゴルに滅ばされる,,,イスラム,,,,
,945,1260,,,「立正安国論」,北条時頼へ,日蓮,日本　宗教,,,,
,937,1262,,,親鸞入寂,90歳,,日本　文化　宗教,,,,
,808,1266,,,「蒙古国牒状」,,,日本,,,,
,1462,1268,,,蒙古から国書,,,日本,,,,
,140,1273,,,ハプスブルク家ルドルフ皇帝即位,,,ドイツ　ハプスブルク,,,,
,141,1274,,,文永の役,,,日本,中学,,,
,142,1275,,,世界最初の不換紙幣,,,中国　アジア,,,,
,1376,1279,,,死手法,法人に渡る土地を総量を抑制,エドワード１世,イギリス,,,,
,667,1280,年代中盤,,三国遺事,,,朝鮮,,,,
,143,1282,,,シチリアの晩鐘事件,マフィアの日,アンジュー伯シャルル,イタリア,,,,
,890,1282,,,円覚寺創建,,無学祖元,日本　文化　宗教,,,,
,939,1282,,,日蓮入滅,61歳,,日本　文化　宗教,,,,
,797,1284,,,「東大寺大仏殿図」,醍醐寺蔵,,日本　宗教,,,,
,1925,1288,,,中国で原始的な銃が発明,,,中国　アジア,,,,
,1937,1290,,,イギリスでユダヤ人の国外追放,,,ヨーロッパ　イギリス,,,,
,610,1291,5月18日,,アッコン最後の日,,,十字軍,,,,
,1639,1291,,,南禅寺創建,,亀山法王,日本　文化　宗教,,,,
,1423,1295,,,親鸞伝絵,,,,,,,
,144,1296,,,ヴォルムスでワイン造り始まる,リーブフラウミルヒ,,ドイツ　ワイン,,,,
,145,1297,,,徳政令,,,日本,中学,,,
,1954,1300,,,ヨーロッパ最初の機械時計,,,ヨーロッパ,,,,
,146,1303,,,集史の編纂を命じられる,ラシード・ウッディーン,,アジア,,,,
,147,1307,,,石灰窯の操業禁止の布告,石炭の悪臭,エドワード1世,イギリス,,,,
,1084,1308,,,石見銀山の最初の採鉱の記録,,大内弘幸,日本,,,,
,589,1309,～1377,,アヴィニヨン捕囚,,クレメンス5世,キリスト教　宗教,,,,
,1418,1309,,,唯善事件,,,日本　文化　宗教,,,,
,611,1310,,,ロードス騎士団,病院騎士団による領有化完了,,十字軍,,,,
,613,1312,,,聖堂騎士団の壊滅とその全面的な解消,1118年創設,クレメンス5世,十字軍,,,,
,614,1314,,,ジャック・ド・モレーの処刑,,,十字軍,,,,
,1421,1321,,,総持寺（曹洞宗）,,,日本　文化　宗教,,,,
,1513,1325,,,大徳寺,,大燈国師宗峰妙超,日本　文化,,,,
,1167,1331,,,元弘の変,光厳天皇が即位,後醍醐天皇,日本,,,,
,1168,1333,,,鎌倉幕府滅亡,,新田義貞,日本,,,,
,854,1336,～1392,,南北朝始まる,,,日本,,,,
,1169,1336,,,尊氏が光明天皇をたてる,,,日本,,,,
,148,1337,,,百年戦争勃発,,フィリップ6世,イギリス　フランス,,,,
,149,1338,,,室町幕府,,,日本,中学,,,
,1170,1338,,,足利尊氏が正式に征夷大将軍に,,,日本,,,,
,893,1342,,,五山十刹,,,日本　文化　宗教,,,,
,150,1347,,,ヨーロッパ･中東でペスト流行（～1349）,1348年として有名,,ドイツ　フランス　ワイン,,,,
,151,1348,,,プラハ大学,,,チェコ,,,,
,733,1349,,貞和5,塩瀬総本家の始祖・林淨因が来朝,,,文化　食　日本,,,,
,1171,1350,,,観応の擾乱,,,日本,,,,
,743,1351,～1366,,紅巾の乱,,,中国,,,,
,855,1352,,,観応の擾乱,,,日本,,,,
,153,1355,,,カール4世即位（～1378）,ルクセンブルク家,,ドイツ　皇帝,,,,
,154,1355,,,ラフィットのブドウ園創設,,,フランス　ワイン,,,,
,671,1355,,,聖スコラスティカの戦い,,,イギリス,,,,
,155,1356,,,金印勅書,,カール4世,ドイツ,,,,
,850,1358,,,元の上都が全焼,紅巾軍,,中国　東アジア,,,,
,156,1365,,,ウィーン大学,,ルドルフ4世,ドイツ,,,,
,157,1368,,,明建国,,,アジア　中国,,,,
,804,1368,,,元朝の中国支配が終了,,,中国,,,,
,849,1370,,,「元史」,,洪武帝,中国　東アジア,,,,
,1453,1372,,,勅額「本朝曹洞第一道場」,,,日本　文化　宗教,,,,
,560,1377,,,ウィクリフに19か条の誤謬,,グレゴリウス11世,キリスト教　イギリス,,,,
,158,1378,,,教会大分裂（～1417）,,,キリスト教　宗教,,,,
,856,1379,,,康暦の政変,足利義満の親政始まる,,日本,,,,
,1133,1382,,,ウィンチェスター・コレッジ創立,最初のパブリック・スクール,,ヨーロッパ　イギリス,,,,
,656,1392,,,李氏朝鮮,,,朝鮮半島　アジア,,,,
,1172,1392,,,南北朝の内乱が終わる,,足利義満,日本,,,,
,858,1395,,,足利義満が太政大臣を辞して出家,,,日本,,,,
,906,1398,,,崇光天皇が禅宗式の葬儀,,,日本　宗教,,,,
,865,1402,,,明の建文帝が足利義満を日本国王に,,,日本　中国,,,,
,809,1404,,,3代足利義満が明へ使節,,永楽帝,日本　中国,,,,
,810,1405,,,鄭和の遠征,,永楽帝,中国,,,,
,859,1408,,,足利義満が死去,,,日本,,,,
,159,1415,,,フス処刑,,,キリスト教　チェコ,,,,
,1088,1421,,,鄭和の第六次遠征隊,周鼎が喜望峰を越えたか！！,ギャビン・メンジース氏の主張,中国,,,,
,1090,1427,,,明がベトナムから撤退,,,中国　ベトナム,,,,
,866,1428,9月,,正長の土一揆,,,日本,,,,
,160,1429,,,オルレアンの戦い,百年戦争,ジャンヌ･ダルク,イギリス　フランス,,,,
,1181,1429,,,琉球王国,三山を統一,,日本　沖縄,,,,
,1117,1432,,,勘合貿易が再開,,,日本　中国,,,,
,1089,1433,,,鄭和の最後の遠征（第七次）,,,中国,,,,
,1910,1436,,,フィレンツェ　サンタマリア大聖堂,,,ヨーロッパ　文化,,,,
,867,1438,,,永享の乱,,,日本,,,,
,1134,1440,,,イーストン校が創建,,ヘンリー6世,ヨーロッパ　イギリス,,,,
,1354,1441,,,嘉吉の乱,6代足利義教が暗殺,,日本,,,,
,590,1446,,,訓民正音（ハングル）,,李氏朝鮮第4代国王の世宗,言語　アジア,,,,
,1955,1450,頃,,ゼンマイ時計の発明,,,,,,,
,161,1452,,,フリードリヒ3世（～1493）,皇帝位が130年ぶりにハプ家へ,,ドイツ　ハプルブルク　皇帝,,,,
,164,1453,,,百年戦争終結・カスティヨン（ボルドー）の戦い,,シャルル7世　ヘンリー6世,イギリス　フランス,,,,
,615,1453,,,東ローマ帝国滅亡（コンスタンティノープル陥落）,,メフメト2世　コンスタンティノス11世,ローマ,,,,
,1316,1454,,,コーヒーが一般に公開,アデン　イスラム寺院から外へ,,文化　食　飲料,,,,
,1725,1455,,,グーテンベルクの活版印刷,,,文化,,,,
,1183,1457,,,アイヌの蜂起,,コマンシャイン,日本,,,,
,1632,1457,,,蓮如　本願寺第八代法主に,,,日本　文化　宗教,,,,
,1094,1460,,,オスマントルコがギリシャ全土を併合,,,トルコ,,,,
,941,1461,,,筆初めの御文,,蓮如,日本　宗教,,,,
,962,1461,,,寛正の大飢饉,,,日本,,,,
,1055,1463,,,相国寺雲頂院の壁画,狩野派の祖,狩野正信,日本　文化　美術,,,,
,963,1465,,,本願寺破却,寛正の法灘,,日本　文化　宗教,,,,
,165,1467,,,応仁の乱が始まる,,,日本,中学,,,
,166,1469,,,スペイン王国成立,,,スペイン,,,,
,1020,1469,,,土佐光信が絵所預に,,,日本　文化　美術,,,,
,167,1470,,,「アーサー王の死」,,マロリー,ケルト,,,,
,751,1471,,文明3,蓮如が越前吉崎に道場を構える,,蓮如,日本　宗教　仏教,,,,
,168,1472,,,ロシアにツアーリ,,イヴァン3世,ロシア,,,,
,1493,1473,3月,,山名宗全死去,,,日本,,,,
,1494,1473,5月,,細川勝元死去,,,日本,,,,
,1923,1474,,,初の特許制度,ヴェネツィア,,ヨーロッパ,,,,
,1634,1475,,,蓮如　吉崎を去る,,,日本　文化　宗教,,,,
,1610,1477,,,水田玉雲堂,,,日本　文化　食,,,,
,1982,1480,,,ロシアがキプチャクハン国への忠誠を拒絶,,イヴァン3世,ロシア,,,,
,169,1485,頃,,「ヴィーナスの誕生」「プリマヴェーラ」,,ボッティチェリ,文化　美術,,,,
,170,1485,,,ボズワースの戦い,テューダー朝,ヘンリー７世,イギリス,,,,
,1093,1485,,,ディオゴ・カウンがコンゴ王国に到達,ポルトガル,,ポルトガル　アフリカ,,,,
,697,1487,,,幕府軍対六角氏・甲賀・伊賀連合軍の戦い,,,日本　忍者,,,,
,1097,1488,,,バルトロメオ・ディアスが喜望峰を発見,,,ヨーロッパ,,,,
,171,1492,,,グラナダ陥落,,,スペイン,,,,
,172,1492,,,新大陸発見,,コロンブス,アメリカ,,,,
,567,1492,,,レコンキスタ完了,,,ヨーロッパ　キリスト教,,,,
,616,1492,,,グラナダ陥落,,,ヨーロッパ,,,,
,1520,1492,,,メディチ家のロレンツエ急死,,,ヨーロッパ,,,,
,1938,1492,,,スペインでユダヤ人の国外追放,,,ヨーロッパ,,,,
,1098,1494,,,トルデシリャス条約,,,ヨーロッパ　スペイン　ポルトガル,,,,
,1907,1494,,,メディチ家がフィレンツェから追放,,,ヨーロッパ,,,,
,1141,1496,,,「慧可断臂図」,愛知県・斉年寺,雪舟,日本　文化　美術,,,,
,1939,1497,,,ポルトガルでユダヤ人の国外追放,,,ヨーロッパ　ポルトガル,,,,
,174,1498,,,ウィーン宮廷楽団創立,,マクシミリアン1世,ドイツ　ハプスブルク,,,,
,899,1499,,,蓮如死去,浄土真宗の葬儀のもと,,日本　宗教,,,,
,175,1500,,,エラスムス「格言集」,,エラスムス,文化,,,,
,176,1504,,,「ダヴィデ」（1501～）,,ミケランジェロ,文化　美術,,,,
,177,1505,,,「モナ･リザ」（1503～）,,ダ･ヴィンチ,文化　美術,,,,
,178,1508,,,教皇の戴冠を受けずに皇帝を名乗る,,マクシミリアン1世,ドイツ　ハプスブルク,,,,
,1385,1508,,,大内義興が足利義澄を破って入京,,,日本,,,,
,179,1510,,,「アテナイの学堂」,,ラファエロ,文化,,,,
,1099,1510,,,ポルトガルがインドのゴアに,,,ヨーロッパ　ポルトガル　インド,,,,
,180,1512,,,「ドイツ国民の神聖ローマ帝国」と改名,,マクシミリアン1世,ドイツ,,,,
,1054,1513,,,「四季花鳥図襖」,,狩野元信,日本　文化　美術,,,,
,1498,1514,,,小椅子の聖母,,ラファエロ,文化　美術　ヨーロッパ,,,,
,606,1516,,,ダ・ヴィンチがフランスへ,,,ヨーロッパ　文化　美術,,,,
,609,1516,4月23日,,ビール純粋令,,バイエルン公ヴィルヘルム4世,ドイツ,,,,
,1965,1516,,,ヴェネツィアに最初のユダヤ人ゲットー,,,ヨーロッパ　イタリア,,,,
,181,1517,,,ルターの宗教改革が始まる,,,ドイツ　キリスト教　宗教,,,,
,182,1519,,,カール5世即位（～1556）,,,ドイツ　ハプスブルク　皇帝,,,,
,183,1519,,,フランス王政論,,,フランス,,,,
,184,1519,～1522,,マゼランの世界一周,,,ヨーロッパ,中学,,,
,1499,1520,,,ラファエロ死去,,,文化　美術,,,,
,617,1522,,,ロードス島攻防戦,,,ヨーロッパ,,,,
,1100,1522,9月6日,,マゼラン隊がスペインに帰港,,,ヨーロッパ,,,,
,185,1526,,,モハーチの戦い,,スレイマン大帝,イスラム　オスマン　ハンガリー,,,,
,580,1526,,,ワイナ・カパックが天然痘で死亡,インカ皇帝,,南アメリカ　インディオ,,,,
,1085,1526,,,石見銀山で神屋寿禎が銀を採掘する,,,日本,,,,
,1855,1526,,,バーブルがデリー占領,,,イスラム　インド,,,,
,602,1527,,,ローマ略奪,,カール5世,ヨーロッパ,,,,
,1095,1529,,,オスマントルコによるウィーン包囲,第1次ウィーン包囲,スレイマン大帝,イスラム　オスマン　トルコ,,,,
,1101,1529,,,サラゴサ条約,,,ヨーロッパ,,,,
,1118,1530,,,大内義隆が幕府に遣明使の認可を求める,,,日本　中国,,,,
,187,1531,,,世界初の商品取引所（アントワープ）,,,ベルギー,,,,
,577,1532,,,カハマルカの惨劇,,ピサロ　アタワルパ,南アメリカ　インディオ,,,,
,605,1534,8月15日,,イエズス会創立,,イグナチオ・デ・ロヨラ,宗教　キリスト教,,,,
,678,1534,,,イギリス国教会,,ヘンリー八世,イギリス,,,,
,1940,1534,,,イギリス国教会,,,ヨーロッパ　イギリス,,,,
,1128,1536,,,イングランドとウェールズが合同,,,イギリス,,,,
,1463,1536,,,天文法華の乱,日蓮宗が6年間禁教,,日本　文化　宗教,,,,
,188,1538,,,プレヴェザの海戦,,,イスラム　オスマン　ハンガリー,,,,
,603,1538,,,「ウルビーノのヴィーナス」,,ティツィアーノ,美術　絵画,,,,
,1119,1539,,,遣明使が日本を出発,,神屋主計,日本　中国,,,,
,1102,1542,,,種子島に鉄砲伝来,,,日本,,,,
,1161,1542,,,生野銀山,,,日本,,,,
,189,1543,,,コペルニクスの死と「天体の回転について」,,,科学,,,,
,190,1543,,,鉄砲の伝来,,,日本,中学,,,
,552,1543,,,「天体の回転について」,,コペルニクス,科学　天文,,,,
,1103,1544,,,スペイン人ペロ・ディアスが日本へ,,,ヨーロッパ　日本　スペイン,,,,
,191,1545,,,トリエント公会議（～1563）,,教皇パウルス３世,キリスト教　宗教,,,,
,1601,1545,,,ボリビアでポトシ銀山が発見,スペイン支配下,,経済　政治　ヨーロッパ,,,,
,1962,1551,,,日本にヨーロッパ製の機械式時計,,,,,,,
,1317,1554,,,本格的なコーヒー店がコンスタンティノープルに開業,,シリア人のハキームとジェムス,文化　食　飲料,,,,
,1904,1554,,,善徳寺の会盟,,,日本,,,,
,1917,1554,,,善徳寺の会盟,武田　北条　今川,,日本,,,,
,192,1555,,,トゥール･ポワティエの戦い,,,オランダ,,,,
,1946,1555,,,アウグスブルグの宗教和議,ルター派を容認,,ヨーロッパ,,,,
,1552,1556,,,善学院（身延山大学）,,,日本　文化　宗教,,,,
,1135,1558,,,イングランドがカレー市を失う,フランスにおける最後の拠点,,ヨーロッパ　イギリス　フランス,,,,
,1495,1559,,,上杉兼信上洛,,,日本,,,,
,1479,1560,,,桶狭間の戦い,,,日本,,,,
,1842,1560,,,「子供の遊戯」,,ブリューゲル,文化　美術,,,,
,1497,1561,または1566,,墨俣一夜城,,,日本,,,,
,193,1562,,,ユグノー戦争（～1598）,,,フランス　イギリス　スペイン,,,,
,884,1562,,,清洲同盟,,,日本,,,,
,1091,1562,,,嘉靖の大倭寇,,,日本　中国　フィリピン,,,,
,1252,1563,～1564,,三河一向一揆,徳川家康の三大危機,,日本,,,,
,1941,1563,,,三十九ヶ条,,,ヨーロッパ　イギリス,,,,
,619,1565,,,マルタ攻防戦,病院騎士団がトルコ帝国撃退,,ヨーロッパ　アジア,,,,
,1355,1565,,,13代足利義輝が殺される,,,日本,,,,
,1841,1565,,,「雪上の狩人」,,ブリューゲル,文化　美術,,,,
,845,1567,,,東大寺焼失,,,日本　文化,,,,
,846,1568,,,観音寺城の戦い,,,日本,,,,
,1587,1568,,,オランダ独立戦争勃発,,,ヨーロッパ,,,,
,885,1569,,,三増峠の戦い,,武田信玄と北条氏,日本,,,,
,1021,1569,,,土佐光元が戦死,,,日本　文化　美術,,,,
,1120,1569,,,大友宗麟が博多を攻める,,,日本,,,,
,194,1570,,,長崎開港,,,日本,,,,
,1471,1570,7月,,姉川の戦い,織田・徳川VS浅井・朝倉,,日本,,,,
,620,1571,,,レパントの海戦,トルコの西進がレパントで阻止,,イスマン　オスマン,,,,
,894,1571,,,信長の延暦寺焼き討ち,,,日本　文化　宗教,,,,
,196,1572,,,SN1572,ティコの星　赤色超巨星,,科学　宇宙　天文,,,,
,1472,1573,1月,,三方ヶ原の戦い,,,日本,,,,
,1473,1573,8月,,一乗谷城の戦い,朝倉氏滅亡,,日本,,,,
,1474,1573,8月,,小谷城の戦い,浅井氏滅亡,,日本,,,,
,1105,1574,,,日中海賊集団によるマニラ攻略,,,日本　中国　フィリピン　ポルトガル,,,,
,1475,1575,6月,,長篠の戦い,織田・徳川VS武田,,日本,,,,
,197,1576,,,ルドルフ2世即位（～1612）,,ルドルフ2世,ドイツ　皇帝,,,,
,198,1576,,,国家論,,,,,,,
,1293,1576,,,織田軍が石山本願寺を攻撃,雑賀衆,鈴木孫一,日本,,,,
,1548,1576,,,第一次木津川口の戦い,,,日本,,,,
,1295,1577,,,織田軍が紀州の雑賀衆を攻める,雑賀衆,鈴木孫一,日本,,,,
,1476,1577,11月,,手取川の戦い,,,日本,,,,
,1549,1578,,,第二次木津川口の戦い,,,日本,,,,
,1694,1578,,,島津氏が薩摩、大隅、日向を統一,,,日本,,,,
,1057,1579,,,安土城の障壁画,,狩野永徳,日本　文化　美術,,,,
,1464,1579,,,安土宗諭,日蓮宗と浄土宗,,日本　文化　宗教,,,,
,752,1580,,天正8,石山本願寺陥落,,顕如,日本　宗教　仏教,,,,
,1104,1580,～1640,,ポルトガルがスペイン支配下に,,,ヨーロッパ　スペイン　ポルトガル,,,,
,199,1581,,,北部ネーデルランド7州が独立,,,ヨーロッパ,,,,
,1425,1581,,,織田信孝の高野山包囲,,,日本　文化　宗教,,,,
,700,1582,,,家康の伊賀越え,茶屋四郎次郎,,日本　忍者,,,,
,901,1582,6月,,本能寺の変,,,日本,,,,
,1106,1582,,,天正の少年使節のローマ派遣,,,ヨーロッパ　日本,,,,
,1107,1582,,,フランシス・ドレーク船長が世界一周,,,ヨーロッパ　イギリス,,,,
,1483,1582,,,グレゴリオ暦（ユリウス歴から改歴）,,,ヨーロッパ　文化,,,,
,1477,1583,4月,,賤ヶ岳の戦い,,,日本,,,,
,1478,1584,4月,,小牧・長久手の戦い,,,日本,,,,
,699,1585,,,太田城水攻め,,,日本　忍者,,,,
,793,1585,,,第一次上田合戦,,,日本,,,,
,896,1585,,,秀吉の根来攻め,新義真言宗が智山と豊山へ分裂,,日本　文化　宗教,,,,
,1174,1585,,,禁中茶会,,,日本,,,,
,1294,1585,,,秀吉が太田城を水攻め,雑賀衆　刀狩の始まり,鈴木孫一,日本,,,,
,1426,1585,,,秀吉の根来寺焼き打ち,,,日本,,,,
,1139,1586,,,神屋宋湛が初めて茶会で井戸茶碗を使う,,,日本　文化　食,,,,
,698,1587,,,天正伊賀の乱,,,日本　忍者,,,,
,1140,1587,,,松花茶壷が茶会で供される,博多箱崎の八幡宮,秀吉,日本　文化　食,,,,
,200,1588,,,アルマダの海戦,,,スペイン　イギリス,,,,
,1108,1588,,,イギリスがスペインの無敵艦隊を破る,,,ヨーロッパ　イギリス　スペイン,,,,
,1547,1588,,,海賊停止令,,,日本,,,,
,1179,1589,,,アンリ４世,旧教徒に改宗してブルボン朝,,ヨーロッパ　フランス,,,,
,1504,1590,,,檜図屏風（国宝）,同じ年に永徳死去,狩野永徳,日本　文化　美術,,,,
,753,1591,,天正19,本願寺が京都へ,128年ぶり,顕如,日本　宗教　仏教,,,,
,841,1591,,天正19,九戸政実の乱,,,日本,,,,
,1419,1591,,,本願寺が京都七条堀川へ（1585？）,,,日本　文化　宗教,,,,
,201,1592,,,文禄の役,,,日本,中学,,,
,1056,1593,,,「楓図壁貼付」,,長谷川等伯,日本　文化　美術,,,,
,1560,1595,,,「いかさま師」,,カラバッジョ,ヨーロッパ　文化　美術,,,,
,202,1598,,,「ロンドン誌」,,ジョン･ストウ,イギリス,,,,
,960,1598,,,醍醐の花見,,,日本　文化,,,,
,1944,1598,,,ナントの勅令,カルバン派を容認,,ヨーロッパ　フランス,,,,
,203,1600,,,「磁石について」,,ギルバート,科学,,,,
,204,1600,,,関ヶ原の戦い,,,日本,中学,,,
,725,1600,,,関ケ原の西軍の犬山城主・石河備前守を虎屋がかくまる,,黒川円仲（中興の祖）,文化　食　日本,,,,
,794,1600,,,第二次上田合戦,犬伏の別れ,,日本,,,,
,1356,1600,,,オランダ商船リーフデ号が漂着,,,日本,,,,
,205,1601,,,「ハムレット」,,シェークスピア,文化　文学　イギリス,,,,
,1347,1601,,,慶長小判,,,日本　経済,,,,
,1591,1601,,,葉煙草の種子が日本に伝来,,,,,,,
