Group,Group 2,Title,Year,Month,Day,Time,End Year,End Month,End Day,End Time,Detail,Display Date,URL,Image URL,Image Credit,Type,Color
歴史,-,第一次長州征討,1864,,,,,,,,,,,,,,
歴史,-,四国連合艦隊下関砲撃事件,1864,,,,,,,,,,,,,,
歴史,-,薩長同盟,1866,,,,,,,,,,,,,,
歴史,-,大政奉還,1867,,,,,,,,,,,,,,
歴史,-,王政復古の大号令,1867,,,,,,,,,,,,,,
歴史,-,戊辰戦争がはじまる              （鳥羽伏見の戦い）,1868,,,,,,,,,,,,,,
歴史,-,五箇条のご誓文・五傍の掲示,1868,,,,,,,,,,,,,,
歴史,-,東京遷都,1869,,,,,,,,,,,,,,
歴史,-,戊辰戦争が終わる（五稜郭の戦い）,1869,,,,,,,,,,,,,,
歴史,-,版籍奉還,1869,,,,,,,,,,,,,,
歴史,-,郵便制度がはじまる,1871,,,,,,,,,,,,,,
歴史,-,廃藩置県,1871,,,,,,,,,,,,,,
歴史,-,日清修好条規調印,1871,,,,,,,,,,,,,,
歴史,-,岩倉具視ら海外渡航,1871,,,,,,,,,,,,,,
歴史,-,琉球藩設置,1872,,,,,,,,,,,,,,
歴史,-,「学問のすすめ」福沢諭吉,1872,,,,,,,,,,,,,,
歴史,-,学制発布,1872,,,,,,,,,,,,,,
歴史,-,鉄道開通（新橋・横浜）,1872,,,,,,,,,,,,,,
歴史,-,富岡製糸場操業開始,1872,,,,,,,,,,,,,,
歴史,-,徴兵令（←血税一揆）,1873,,,,,,,,,,,,,,
歴史,-,キリスト教解禁,1873,,,,,,,,,,,,,,
歴史,-,地租改正条例公布,1873,,,,,,,,,,,,,,
歴史,-,明治六年の政変（征韓派)下野,1873,,,,,,,,,,,,,,
歴史,-,民撰議院設立建白書提出          （板垣退助・江藤新平ら）,1874,,,,,,,,,,,,,,
歴史,-,佐賀の乱（江藤新平）→神風連の乱・秋月の乱・萩の乱(1876),1874,,,,,,,,,,,,,,
歴史,-,各地で地租改正反対一揆が起こる,1874,,,,,,,,,,,,,,
歴史,-,立志社設立（板垣退助ら）,1874,,,,,,,,,,,,,,
歴史,-,愛国社設立（板垣退助ら）,1875,,,,,,,,,,,,,,
歴史,-,樺太・千島交換条約締結,1875,,,,,,,,,,,,,,
歴史,-,江華島事件,1875,,,,,,,,,,,,,,
歴史,-,新聞紙条例・讒謗律制定,1875,,,,,,,,,,,,,,
歴史,-,廃刀令,1876,,,,,,,,,,,,,,
歴史,-,日朝修好条規（江華条約）調印,1876,,,,,,,,,,,,,,
歴史,-,西南戦争,1877,,,,,,,,,,,,,,
歴史,-,地租税率改正（３％→２．５％）　　　　(竹やりでドンとつきだす　二分五厘),1877,,,,,,,,,,,,,,
歴史,-,沖縄県設置,1879,,,,,,,,,,,,,,
歴史,-,国会期成同盟結成,1880,,,,,,,,,,,,,,
歴史,-,集会条例公布,1880,,,,,,,,,,,,,,
歴史,-,北海道開拓使官有物払い下げ事件,1881,,,,,,,,,,,,,,
歴史,-,国会開設の詔,1881,,,,,,,,,,,,,,
歴史,-,板垣退助、自由党結成,1881,,,,,,,,,,,,,,
歴史,-,大隈重信、立憲改進党結成,1882,,,,,,,,,,,,,,
歴史,-,伊藤博文、憲法調査のため渡航,1882,,,,,,,,,,,,,,
歴史,-,鹿鳴館完成,1883,,,,,,,,,,,,,,
歴史,-,秩父事件(秩父困民党）,1884,,,,,,,,,,,,,,
歴史,-,内閣制度創設                                （初代内閣総理大臣　伊藤博文）,1885,,,,,,,,,,,,,,
歴史,-,ノルマントン号事件,1886,,,,,,,,,,,,,,
歴史,-,大同団結運動,1886,,,,,,,,,,,,,,
歴史,-,三大事件建白運動,1887,,,,,,,,,,,,,,
歴史,-,保安条例公布,1887,,,,,,,,,,,,,,
歴史,-,枢密院設置,1888,,,,,,,,,,,,,,
歴史,-,大日本帝国憲法発布,1889,,,,,,,,,,,,,,
歴史,-,教育勅語発布,1890,,,,,,,,,,,,,,
歴史,-,第一衆議院議員選挙実施,1890,,,,,,,,,,,,,,
歴史,-,第一回帝国議会が開かれる,1890,,,,,,,,,,,,,,
歴史,-,大津事件,1891,,,,,,,,,,,,,,
歴史,-,足尾銅山鉱毒事件が問題となる,1891,,,,,,,,,,,,,,
歴史,-,日英通商航海条約締結　　　　　　（治外法権撤廃）,1894,,,,,,,,,,,,,,
歴史,-,甲午農民戦争（東学党の乱：朝鮮）,1894,,,,,,,,,,,,,,
歴史,-,日清戦争,1894,,,,,,,,,,,,,,
歴史,-,下関条約締結,1895,,,,,,,,,,,,,,
歴史,-,三国干渉,1895,,,,,,,,,,,,,,
歴史,-,隈板内閣成立,1898,,,,,,,,,,,,,,
歴史,-,香港境界拡張専門協約,1898,,,,,,,,,,,,,,
歴史,-,北清事変（義和団事件）,1900,,,,,,,,,,,,,,
歴史,-,八幡製鉄所操業開始,1901,,,,,,,,,,,,,,
歴史,-,日英同盟締結,1902,,,,,,,,,,,,,,
歴史,-,日露戦争,1904,,,,,,,,,,,,,,
歴史,-,ポーツマス条約締結,1905,,,,,,,,,,,,,,
歴史,-,伊藤博文・安重根に殺害される,1909,,,,,,,,,,,,,,
歴史,-,大逆事件（幸徳秋水ら捕らえられる）,1910,,,,,,,,,,,,,,
歴史,-,日米通商航海条約締結　　　　　　（関税自主権回復）,1911,,,,,,,,,,,,,,
歴史,-,辛亥革命（孫文）,1911,,,,,,,,,,,,,,
歴史,-,中華民国建国,1912,,,,,,,,,,,,,,
歴史,-,大正時代の始まり,1912,,,,,,,,,,,,,,
歴史,-,第一次護憲運動　　　　　　　　　　尾崎行雄・犬養毅→1913　桂太郎退陣,1912,,,,,,,,,,,,,,
歴史,-,第一次世界大戦が始まる,1914,,,,,,,,,,,,,,
歴史,-,対華２１ヶ条の要求,1915,,,,,,,,,,,,,,
歴史,-,吉野作造 「民本主義」を唱える,1916,,,,,,,,,,,,,,
歴史,-,ロシア革命が起こる,1917,,,,,,,,,,,,,,
歴史,-,シベリア出兵,1918,,,,,,,,,,,,,,
歴史,-,米騒動,,,,,,,,,,,,,,,
歴史,-,原敬内閣 成立,,,,,,,,,,,,,,,
歴史,-,第一次世界大戦が終わる,1918,,,,,,,,,,,,,,
歴史,-,パリ講和会議の開催,1919,,,,,,,,,,,,,,
歴史,-,３・１運動（朝鮮）,1919,,,,,,,,,,,,,,
歴史,-,５・４運動（中国）,1919,,,,,,,,,,,,,,
歴史,-,ベルサイユ条約締結,1919,,,,,,,,,,,,,,
歴史,-,国際連盟成立　　　　　　　　　　　日本初のメーデー,1920,,,,,,,,,,,,,,
歴史,-,ワシントン会議が開かれる,1921,,,,,,,,,,,,,,
歴史,-,全国水平者創立,1922,,,,,,,,,,,,,,
歴史,-,ソビエト社会主義共和国連邦成立,1922,,,,,,,,,,,,,,
歴史,-,関東大震災,1923,,,,,,,,,,,,,,
歴史,-,第二次護憲運動　　　　　　　　　　加藤高明内閣成立（～1932まで政党政治）,1924,,,,,,,,,,,,,,
歴史,-,ラジオ放送が始まる,1925,,,,,,,,,,,,,,
歴史,-,治安維持法制定,1925,,,,,,,,,,,,,,
歴史,-,普通選挙法制定,1925,,,,,,,,,,,,,,
歴史,-,大正時代の終わり,1926,,,,,,,,,,,,,,
歴史,-,世界恐慌,1929,,,,,,,,,,,,,,
歴史,-,ロンドン会議,1930,,,,,,,,,,,,,,
歴史,-,柳条湖事件（満州事変）,1931,,,,,,,,,,,,,,
歴史,-,満州国建国宣言,1932,,,,,,,,,,,,,,
歴史,-,リットン調査団調査,1932,,,,,,,,,,,,,,
歴史,-,５・１５事件,1932,,,,,,,,,,,,,,
歴史,-,国際連盟脱退,1933,,,,,,,,,,,,,,
歴史,-,２・２６事件,1936,,,,,,,,,,,,,,
歴史,-,日中戦争が始まる（盧溝橋事件）　　南京事件,1937,,,,,,,,,,,,,,
歴史,-,国家総動員法,1938,,,,,,,,,,,,,,
歴史,-,第二次世界大戦が始まる,1939,,,,,,,,,,,,,,
歴史,-,日独伊三国同盟,1940,,,,,,,,,,,,,,
歴史,-,大政翼賛会,1940,,,,,,,,,,,,,,
歴史,-,日ソ中立条約,1941,,,,,,,,,,,,,,
歴史,-,太平洋戦争が始まる,1941,,,,,,,,,,,,,,
歴史,-,ミッドウェー海戦で敗れる,1942,,,,,,,,,,,,,,
歴史,-,サイパン島陥落→本土空襲激化,1944,,,,,,,,,,,,,,
歴史,-,2月　ヤルタ会談（米・英・ソ）,1945,,,,,,,,,,,,,,
歴史,-,3月　東京大空襲,1945,,,,,,,,,,,,,,
歴史,-,4月　沖縄本土にて会戦,1945,,,,,,,,,,,,,,
歴史,-,5月　ドイツ降伏,1945,,,,,,,,,,,,,,
歴史,-,7月　ポツダム会談→ポツダム宣言,1945,,,,,,,,,,,,,,
歴史,-,８．　６　広島に原爆投下,1945,,,,,,,,,,,,,,
歴史,-,８．　８　ソ連、対日宣戦布告,1945,,,,,,,,,,,,,,
歴史,-,８．　９　長崎に原爆投下,1945,,,,,,,,,,,,,,
歴史,-,８．１４　ポツダム宣言受託,1945,,,,,,,,,,,,,,
歴史,-,８．１５　天皇　戦争終結の詔書放送,1945,,,,,,,,,,,,,,
歴史,-,９．　２　降伏文書に調印（ミズーリ号）,1945,,,,,,,,,,,,,,
歴史,-,ＧＨＱ設置（マッカーサー）　　　　財閥解体　婦人参政権の実現,1945,,,,,,,,,,,,,,
歴史,-,国際連合発足,1945,,,,,,,,,,,,,,
歴史,-,天皇人間宣言,1946,,,,,,,,,,,,,,
歴史,-,農地改革,1946,,,,,,,,,,,,,,
歴史,-,新選挙法による総選挙（女性参政権）,1946,,,,,,,,,,,,,,
歴史,-,極東裁判開廷                      （極東国際軍事裁判：東京裁判）,1946,,,,,,,,,,,,,,
歴史,-,日本国憲法公布（１１．３）,1946,,,,,,,,,,,,,,
歴史,-,教育基本法・学校教育法　　　　　　労働基準法・独占禁止法,1947,,,,,,,,,,,,,,
歴史,-,日本国憲法施行（５．３）,,,,,,,,,,,,,,,
歴史,-,朝鮮が分裂（朝鮮民主主義人民共和国・大韓民国）,1948,,,,,,,,,,,,,,
歴史,-,中華人民共和国が成立            （中国が分裂　中華民国→台湾）,1949,,,,,,,,,,,,,,
歴史,-,朝鮮戦争が始まる,1950,,,,,,,,,,,,,,
歴史,-,警察予備隊設置,1950,,,,,,,,,,,,,,
歴史,-,ワシントン平和条約調印,1951,,,,,,,,,,,,,,
歴史,-,日米安全保障条約調印,1951,,,,,,,,,,,,,,
歴史,-,保安隊設置,1952,,,,,,,,,,,,,,
歴史,-,朝鮮戦争が休戦,1953,,,,,,,,,,,,,,
歴史,-,テレビ放送が始まる,1953,,,,,,,,,,,,,,
歴史,-,第五福竜丸、ビキニ水爆実験で被爆,1954,,,,,,,,,,,,,,
歴史,-,自衛隊発足,1954,,,,,,,,,,,,,,
歴史,-,バンドン会議,1955,,,,,,,,,,,,,,
歴史,-,･日ソ共同宣言　　　　　　　　　　　･日本、国際連合に加盟,1956,,,,,,,,,,,,,,
歴史,-,･日米新安全保障条約・地位協定調印　･安保闘争が起こる,1960,,,,,,,,,,,,,,
歴史,-,･東海道新幹線が開通　　　　　　　　･東京オリンピックが開催される,1964,,,,,,,,,,,,,,
歴史,-,日韓基本条約調印,1965,,,,,,,,,,,,,,
歴史,-,小笠原諸島が返還される,1968,,,,,,,,,,,,,,
歴史,-,日中共同声明調印,1972,,,,,,,,,,,,,,
歴史,-,沖縄が返還される,1972,,,,,,,,,,,,,,
歴史,-,第一次石油危機（第四次中東戦争）,1973,,,,,,,,,,,,,,
歴史,-,ロッキード事件　　　　　　　　　　田中角栄元首相が逮捕される,1976,,,,,,,,,,,,,,
歴史,-,日中平和友好条約調印,1978,,,,,,,,,,,,,,
歴史,-,天安門事件,1989,4,15,,1989,6,4,,,,,,,,
歴史,-,阪神淡路大震災,1995,1,17,,,,,,,,,,,,
歴史,-,香港返還,1997,,,,,,,,,,,,,,
歴史,-,アメリカ同時多発テロ,2001,9,11,,,,,,,,,,,,
歴史,-,東日本大震災,2011,3,11,,,,,,,,,,,,
歴史,-,東京都知事 小池百合子,2016,7,31,,2020,7,30,,,,,,,,
歴史,-,2020年前半リブラ発行開始予定？,2020,1,1,,2020,6,30,,,,,,,,
歴史,-,消費税3%導入,1989,4,1,,,,,,,,,,,,
歴史,-,消費税5%に引き上げ,1997,4,1,,,,,,,,,,,,
歴史,-,消費税8%に引き上げ,2014,4,1,,,,,,,,,,,,
歴史,-,日本電信電話公社設立,1952,,,,,,,,,,,,,,
歴史,-,日本電信電話公社→NTT (民営化),1985,,,,,,,,,,,,,,
